@relation 'snake_game-weka.filters.unsupervised.attribute.Remove-R5-8,10-14,16-19,22-25,27-weka.filters.unsupervised.attribute.Remove-R1-5'

@attribute previous_direction {1,2,3,4}
@attribute x_rel_pos {RIGHT,LEFT,SAME}
@attribute y_rel_pos {UP,DOWN,SAME}
@attribute direction {1,2,3,4}

@data
3,RIGHT,DOWN,2
3,RIGHT,DOWN,2
3,RIGHT,DOWN,2
3,RIGHT,DOWN,2
3,RIGHT,DOWN,2
3,RIGHT,DOWN,2
3,RIGHT,DOWN,2
3,RIGHT,DOWN,2
3,RIGHT,DOWN,2
3,RIGHT,DOWN,2
3,RIGHT,DOWN,2
3,RIGHT,DOWN,2
3,RIGHT,DOWN,2
3,RIGHT,DOWN,2
3,RIGHT,DOWN,2
3,RIGHT,DOWN,2
3,RIGHT,DOWN,2
3,RIGHT,DOWN,2
3,SAME,DOWN,2
3,LEFT,DOWN,2
2,LEFT,DOWN,3
2,LEFT,DOWN,3
2,LEFT,DOWN,3
2,LEFT,DOWN,3
2,LEFT,DOWN,3
2,LEFT,DOWN,3
2,LEFT,DOWN,3
2,LEFT,DOWN,3
2,LEFT,DOWN,3
2,LEFT,DOWN,3
2,LEFT,DOWN,3
2,LEFT,DOWN,3
2,LEFT,DOWN,3
2,LEFT,DOWN,3
2,LEFT,DOWN,3
2,LEFT,DOWN,3
2,LEFT,DOWN,3
2,LEFT,SAME,3
3,LEFT,DOWN,4
3,LEFT,DOWN,4
3,LEFT,DOWN,4
3,LEFT,DOWN,4
3,LEFT,DOWN,4
3,LEFT,DOWN,4
3,LEFT,DOWN,4
3,LEFT,DOWN,4
4,LEFT,DOWN,3
4,LEFT,DOWN,3
4,LEFT,DOWN,3
4,LEFT,DOWN,3
4,LEFT,DOWN,3
4,LEFT,DOWN,3
4,LEFT,DOWN,3
4,LEFT,DOWN,3
4,LEFT,DOWN,3
4,LEFT,DOWN,3
4,LEFT,SAME,3
3,LEFT,SAME,4
3,LEFT,SAME,4
3,LEFT,SAME,4
3,LEFT,SAME,4
3,LEFT,SAME,4
3,LEFT,SAME,4
3,LEFT,SAME,4
3,LEFT,SAME,4
3,LEFT,SAME,4
3,LEFT,SAME,4
3,LEFT,SAME,4
3,LEFT,SAME,4
3,LEFT,SAME,4
3,LEFT,SAME,4
3,LEFT,SAME,4
3,LEFT,SAME,4
3,LEFT,SAME,4
3,RIGHT,UP,4
3,RIGHT,UP,4
3,RIGHT,UP,4
3,RIGHT,UP,4
3,RIGHT,UP,4
3,RIGHT,UP,4
4,RIGHT,UP,1
4,RIGHT,UP,1
